Frame,Wavelength,Intensity
1,585.38779304249636,600
1,585.45513172155859,597
1,585.52246891561981,594
1,585.58980462256773,593
1,585.65713884029037,596
1,585.72447156667511,595
1,585.79180279960951,594
1,585.85913253698106,587
1,585.926460776677,600
1,585.99378751658458,596
1,586.061112754591,596
1,586.12843648858291,595
1,586.19575871644736,590
1,586.26307943607094,597
1,586.33039864534032,594
1,586.3977163421423,594
1,586.465032524363,591
1,586.5323471898887,597
1,586.59966033660567,596
1,586.6669719624,593
1,586.73428206515757,590
1,586.80159064276449,592
1,586.868897693106,599
1,586.93620321406831,599
1,587.00350720353663,595
1,587.07080965939633,598
1,587.138110579533,600
1,587.20540996183161,584
1,587.27270780417712,596
1,587.340004104455,585
1,587.40729886054987,595
1,587.47459207034649,596
1,587.5418837317294,594
1,587.60917384258357,590
1,587.676462400793,596
1,587.74374940424241,596
1,587.81103485081587,602
1,587.87831873839741,589
1,587.94560106487131,593
1,588.01288182812164,598
1,588.08016102603187,596
1,588.14743865648575,596
1,588.21471471736709,592
1,588.28198920655939,587
1,588.349262121946,590
1,588.41653346141061,598
1,588.48380322283583,585
1,588.551071404105,593
1,588.61833800310126,595
1,588.68560301770754,598
1,588.7528664458066,593
1,588.820128285281,595
1,588.88738853401367,587
1,588.95464718988671,598
1,589.02190425078288,592
1,589.08915971458441,593
1,589.15641357917332,584
1,589.223665842432,592
1,589.29091650224234,597
1,589.35816555648614,594
1,589.42541300304538,593
1,589.49265883980183,584
1,589.55990306463707,594
1,589.62714567543242,592
1,589.69438667006955,592
1,589.76162604642968,596
1,589.82886380239415,597
1,589.89609993584406,591
1,589.96333444466029,591
1,590.03056732672428,596
1,590.09779857991623,599
1,590.16502820211724,592
1,590.23225619120808,594
1,590.29948254506894,596
1,590.3667072615807,598
1,590.43393033862378,593
1,590.501151774078,592
1,590.5683715658239,592
1,590.63558971174155,592
1,590.70280620971107,590
1,590.7700210576121,600
1,590.83723425332471,595
1,590.90444579472842,589
1,590.97165567970308,601
1,591.0388639061282,603
1,591.106070471883,597
1,591.17327537484721,599
1,591.2404786129,595
1,591.3076801839203,596
1,591.37488008578771,593
1,591.44207831638084,601
1,591.50927487357865,594
1,591.57646975526018,598
1,591.64366295930415,589
1,591.71085448358906,593
1,591.77804432599351,597
1,591.84523248439609,596
1,591.91241895667508,596
1,591.97960374070885,598
1,592.04678683437555,599
1,592.11396823555344,601
1,592.18114794212056,601
1,592.24832595195471,595
1,592.31550226293393,597
1,592.382676872936,600
1,592.44984977983881,599
1,592.51702098151952,601
1,592.584190475856,600
1,592.65135826072549,597
1,592.71852433400556,601
1,592.78568869357366,602
1,592.85285133730645,604
1,592.92001226308139,596
1,592.98717146877573,598
1,593.05432895226613,596
1,593.1214847114295,590
1,593.18863874414251,599
1,593.25579104828216,590
1,593.32294162172514,603
1,593.39009046234742,604
1,593.457237568026,597
1,593.52438293663738,599
1,593.59152656605727,594
1,593.65866845416224,603
1,593.72580859882885,601
1,593.79294699793229,603
1,593.86008364934924,600
1,593.92721855095556,600
1,593.99435170062668,607
1,594.06148309623859,597
1,594.12861273566716,594
1,594.19574061678748,596
1,594.26286673747575,598
1,594.32999109560683,598
1,594.3971136890566,603
1,594.46423451569979,598
1,594.53135357341228,609
1,594.59847086006846,600
1,594.665586373544,601
1,594.73270011171371,613
1,594.79981207245237,615
1,594.86692225363493,609
1,594.93403065313623,606
1,595.00113726883092,604
1,595.06824209859371,605
1,595.13534514029891,600
1,595.20244639182113,603
1,595.26954585103476,614
1,595.33664351581422,612
1,595.40373938403354,612
1,595.47083345356725,599
1,595.53792572228929,609
1,595.60501618807371,610
1,595.67210484879433,600
1,595.73919170232523,598
1,595.80627674654033,612
1,595.87335997931314,611
1,595.94044139851758,626
1,596.00752100202715,607
1,596.07459878771556,607
1,596.141674753456,603
1,596.20874889712218,610
1,596.27582121658736,612
1,596.34289170972465,613
1,596.40996037440755,609
1,596.47702720850907,622
1,596.54409220990215,607
1,596.61115537646015,623
1,596.67821670605542,615
1,596.74527619656158,611
1,596.81233384585107,632
1,596.8793896517966,619
1,596.94644361227085,619
1,597.01349572514664,601
1,597.08054598829642,617
1,597.14759439959244,604
1,597.2146409569076,620
1,597.28168565811393,616
1,597.34872850108354,615
1,597.41576948368925,618
1,597.48280860380271,624
1,597.54984585929628,611
1,597.61688124804209,613
1,597.6839147679118,633
1,597.75094641677765,628
1,597.8179761925112,630
1,597.88500409298456,612
1,597.95203011606941,620
1,598.01905425963719,630
1,598.0860765215599,630
1,598.15309689970877,628
1,598.22011539195546,625
1,598.28713199617141,644
1,598.35414671022772,635
1,598.4211595319963,635
1,598.48817045934777,632
1,598.55517949015393,636
1,598.62218662228543,634
1,598.68919185361358,619
1,598.75619518200961,638
1,598.823196605344,638
1,598.8901961214882,639
1,598.95719372831286,626
1,599.02418942368865,647
1,599.09118320548646,634
1,599.15817507157692,635
1,599.22516501983091,647
1,599.29215304811862,644
1,599.35913915431092,645
1,599.426123336278,646
1,599.49310559189064,640
1,599.56008591901889,644
1,599.62706431553329,654
1,599.69404077930392,649
1,599.76101530820119,652
1,599.82798790009508,631
1,599.89495855285566,647
1,599.96192726435345,657
1,600.02889403245774,643
1,600.09585885503907,646
1,600.162821729967,654
1,600.22978265511142,654
1,600.29674162834226,656
1,600.3636986475293,649
1,600.43065371054217,644
1,600.49760681525049,661
1,600.56455795952365,654
1,600.63150714123185,660
1,600.69845435824391,648
1,600.76539960842945,653
1,600.83234288965821,679
1,600.89928419979935,656
1,600.96622353672217,656
1,601.03316089829571,674
1,601.10009628238947,669
1,601.16702968687264,675
1,601.23396110961426,678
1,601.30089054848349,679
1,601.36781800134918,659
1,601.43474346608048,678
1,601.50166694054622,680
1,601.56858842261545,677
1,601.63550791015689,683
1,601.70242540103948,672
1,601.76934089313181,676
1,601.836254384303,684
1,601.90316587242125,684
1,601.97007535535556,684
1,602.03698283097413,689
1,602.10388829714577,700
1,602.170791751739,700
1,602.23769319262249,699
1,602.30459261766418,686
1,602.37149002473291,706
1,602.4383854116968,673
1,602.50527877642423,683
1,602.57217011678335,679
1,602.63905943064265,681
1,602.7059467158698,693
1,602.77283197033375,699
1,602.83971519190186,713
1,602.90659637844249,717
1,602.973475527824,708
1,603.04035263791377,710
1,603.10722770658,704
1,603.17410073169083,716
1,603.24097171111407,707
1,603.30784064271722,698
1,603.37470752436866,704
1,603.4415723539355,699
1,603.508435129286,723
1,603.57529584828762,719
1,603.64215450880829,722
1,603.70901110871534,691
1,603.77586564587637,678
1,603.84271811815927,698
1,603.90956852343118,725
1,603.97641685955978,719
1,604.04326312441265,723
1,604.11010731585691,700
1,604.17694943176025,732
1,604.24378946998979,706
1,604.31062742841311,726
1,604.37746330489722,720
1,604.44429709730969,720
1,604.51112880351752,706
1,604.57795842138808,717
1,604.64478594878835,738
1,604.71161138358582,731
1,604.77843472364736,742
1,604.84525596683989,732
1,604.91207511103084,731
1,604.97889215408679,722
1,605.04570709387508,718
1,605.11251992826271,724
1,605.17933065511659,714
1,605.24613927230314,723
1,605.31294577769,737
1,605.37975016914368,718
1,605.44655244453077,724
1,605.51335260171834,717
1,605.58015063857329,714
1,605.646946552962,726
1,605.71374034275152,737
1,605.78053200580837,724
1,605.84732153999937,726
1,605.914108943191,721
1,605.98089421324983,716
1,606.04767734804284,732
1,606.11445834543611,716
1,606.18123720329652,716
1,606.24801391949052,710
1,606.31478849188466,743
1,606.38156091834526,716
1,606.448331196739,737
1,606.51509932493207,751
1,606.58186530079115,735
1,606.64862912218234,723
1,606.71539078697231,730
1,606.78215029302726,720
1,606.84890763821352,715
1,606.91566282039742,727
1,606.98241583744527,699
1,607.04916668722319,716
1,607.11591536759761,700
1,607.18266187643462,730
1,607.24940621160056,751
1,607.31614837096186,732
1,607.38288835238416,740
1,607.44962615373379,737
1,607.51636177287708,733
1,607.58309520768012,732
1,607.64982645600878,748
1,607.7165555157294,747
1,607.783282384708,765
1,607.85000706081064,772
1,607.91672954190324,764
1,607.98344982585184,764
1,608.05016791052276,750
1,608.11688379378131,784
1,608.18359747349427,771
1,608.25030894752717,770
1,608.31701821374611,747
1,608.383725270017,784
1,608.45043011420557,754
1,608.517132744178,784
1,608.5838331578,780
1,608.65053135293749,759
1,608.71722732745638,786
1,608.78392107922275,761
1,608.850612606102,781
1,608.91730190596036,771
1,608.98398897666357,779
1,609.05067381607728,809
1,609.11735642206736,814
1,609.1840367924998,826
1,609.25071492524023,798
1,609.31739081815454,798
1,609.38406446910824,821
1,609.45073587596733,792
1,609.51740503659744,829
1,609.58407194886433,830
1,609.65073661063388,847
1,609.71739901977185,886
1,609.78405917414364,877
1,609.85071707161524,891
1,609.91737271005229,863
1,609.98402608732033,863
1,610.05067720128534,864
1,610.117326049813,873
1,610.18397263076884,870
1,610.25061694201838,841
1,610.3172589814277,857
1,610.38389874686209,854
1,610.4505362361873,872
1,610.51717144726945,851
1,610.58380437797359,875
1,610.65043502616561,853
1,610.71706338971137,830
1,610.78368946647629,838
1,610.8503132543259,816
1,610.91693475112606,819
1,610.98355395474243,801
1,611.05017086304065,799
1,611.11678547388624,794
1,611.18339778514485,800
