Frame,Wavelength,Intensity
1,585.38779304249636,617
1,585.45513172155859,600
1,585.52246891561981,601
1,585.58980462256773,599
1,585.65713884029037,604
1,585.72447156667511,604
1,585.79180279960951,598
1,585.85913253698106,606
1,585.926460776677,604
1,585.99378751658458,603
1,586.061112754591,611
1,586.12843648858291,600
1,586.19575871644736,594
1,586.26307943607094,593
1,586.33039864534032,598
1,586.3977163421423,602
1,586.465032524363,600
1,586.5323471898887,601
1,586.59966033660567,600
1,586.6669719624,591
1,586.73428206515757,607
1,586.80159064276449,605
1,586.868897693106,601
1,586.93620321406831,620
1,587.00350720353663,600
1,587.07080965939633,600
1,587.138110579533,596
1,587.20540996183161,597
1,587.27270780417712,595
1,587.340004104455,600
1,587.40729886054987,591
1,587.47459207034649,601
1,587.5418837317294,602
1,587.60917384258357,600
1,587.676462400793,584
1,587.74374940424241,598
1,587.81103485081587,601
1,587.87831873839741,593
1,587.94560106487131,603
1,588.01288182812164,605
1,588.08016102603187,606
1,588.14743865648575,604
1,588.21471471736709,600
1,588.28198920655939,596
1,588.349262121946,604
1,588.41653346141061,599
1,588.48380322283583,600
1,588.551071404105,603
1,588.61833800310126,597
1,588.68560301770754,598
1,588.7528664458066,605
1,588.820128285281,603
1,588.88738853401367,594
1,588.95464718988671,598
1,589.02190425078288,610
1,589.08915971458441,613
1,589.15641357917332,590
1,589.223665842432,601
1,589.29091650224234,598
1,589.35816555648614,608
1,589.42541300304538,603
1,589.49265883980183,604
1,589.55990306463707,596
1,589.62714567543242,597
1,589.69438667006955,608
1,589.76162604642968,611
1,589.82886380239415,603
1,589.89609993584406,596
1,589.96333444466029,606
1,590.03056732672428,605
1,590.09779857991623,600
1,590.16502820211724,603
1,590.23225619120808,605
1,590.29948254506894,593
1,590.3667072615807,605
1,590.43393033862378,611
1,590.501151774078,610
1,590.5683715658239,594
1,590.63558971174155,597
1,590.70280620971107,603
1,590.7700210576121,609
1,590.83723425332471,609
1,590.90444579472842,597
1,590.97165567970308,608
1,591.0388639061282,611
1,591.106070471883,600
1,591.17327537484721,601
1,591.2404786129,590
1,591.3076801839203,611
1,591.37488008578771,607
1,591.44207831638084,609
1,591.50927487357865,621
1,591.57646975526018,603
1,591.64366295930415,600
1,591.71085448358906,605
1,591.77804432599351,609
1,591.84523248439609,610
1,591.91241895667508,612
1,591.97960374070885,612
1,592.04678683437555,600
1,592.11396823555344,606
1,592.18114794212056,613
1,592.24832595195471,598
1,592.31550226293393,600
1,592.382676872936,610
1,592.44984977983881,609
1,592.51702098151952,607
1,592.584190475856,606
1,592.65135826072549,615
1,592.71852433400556,607
1,592.78568869357366,604
1,592.85285133730645,620
1,592.92001226308139,615
1,592.98717146877573,610
1,593.05432895226613,608
1,593.1214847114295,608
1,593.18863874414251,612
1,593.25579104828216,610
1,593.32294162172514,621
1,593.39009046234742,615
1,593.457237568026,604
1,593.52438293663738,610
1,593.59152656605727,617
1,593.65866845416224,618
1,593.72580859882885,624
1,593.79294699793229,615
1,593.86008364934924,621
1,593.92721855095556,624
1,593.99435170062668,615
1,594.06148309623859,622
1,594.12861273566716,611
1,594.19574061678748,624
1,594.26286673747575,629
1,594.32999109560683,625
1,594.3971136890566,622
1,594.46423451569979,626
1,594.53135357341228,623
1,594.59847086006846,622
1,594.665586373544,616
1,594.73270011171371,624
1,594.79981207245237,622
1,594.86692225363493,621
1,594.93403065313623,634
1,595.00113726883092,622
1,595.06824209859371,615
1,595.13534514029891,638
1,595.20244639182113,624
1,595.26954585103476,614
1,595.33664351581422,625
1,595.40373938403354,627
1,595.47083345356725,641
1,595.53792572228929,628
1,595.60501618807371,637
1,595.67210484879433,634
1,595.73919170232523,642
1,595.80627674654033,637
1,595.87335997931314,631
1,595.94044139851758,644
1,596.00752100202715,647
1,596.07459878771556,646
1,596.141674753456,649
1,596.20874889712218,636
1,596.27582121658736,625
1,596.34289170972465,664
1,596.40996037440755,646
1,596.47702720850907,652
1,596.54409220990215,642
1,596.61115537646015,653
1,596.67821670605542,647
1,596.74527619656158,646
1,596.81233384585107,670
1,596.8793896517966,661
1,596.94644361227085,656
1,597.01349572514664,644
1,597.08054598829642,669
1,597.14759439959244,655
1,597.2146409569076,678
1,597.28168565811393,665
1,597.34872850108354,655
1,597.41576948368925,3036
1,597.48280860380271,5617
1,597.54984585929628,2978
1,597.61688124804209,686
1,597.6839147679118,673
1,597.75094641677765,673
1,597.8179761925112,676
1,597.88500409298456,676
1,597.95203011606941,673
1,598.01905425963719,698
1,598.0860765215599,676
1,598.15309689970877,675
1,598.22011539195546,682
1,598.28713199617141,701
1,598.35414671022772,688
1,598.4211595319963,708
1,598.48817045934777,686
1,598.55517949015393,691
1,598.62218662228543,684
1,598.68919185361358,704
